clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Vasco,Garré,Meia,Casa,CHA,0.0,0.0,0,4.0,0.0
Vitória,Jair Ventura,Técnico,Fora,PAL,9.26,9.26,1,7.34,2.34
Vitória,Camutanga,Zagueiro,Fora,PAL,9.5,9.5,1,7.42,2.42
Vitória,Baralhas,Meia,Fora,PAL,10.9,10.9,1,8.73,2.73
Vasco,Matheus França,Meia,Casa,CHA,0.8,0.8,1,3.55,-0.45
Vitória,Ramon,Lateral,Fora,PAL,4.7,4.7,1,5.74,0.74
Vitória,Neris,Zagueiro,Fora,PAL,0.0,0.0,0,3.0,0.0
Vitória,Cantalapiedra,Meia,Fora,PAL,0.5,0.5,1,5.9,-1.1
Vitória,Renato Kayzer,Atacante,Fora,PAL,10.4,10.4,1,8.56,2.56
Vitória,Claudinho,Lateral,Fora,PAL,0.0,0.0,0,4.0,0.0
Vitória,Thiago Couto,Goleiro,Fora,PAL,0.0,0.0,0,3.0,0.0
Vitória,Mateus Silva,Lateral,Fora,PAL,9.7,9.7,1,5.86,2.86
Vitória,Osvaldo,Atacante,Fora,PAL,0.8,0.8,1,4.37,-0.63
Vitória,Lucas Arcanjo,Goleiro,Fora,PAL,0.0,0.0,0,4.0,0.0
Vitória,Ronald Lopes,Meia,Fora,PAL,0.0,0.0,0,5.0,0.0
Vitória,Paulo Roberto,Lateral,Fora,PAL,0.0,0.0,0,3.0,0.0
Vitória,Dudu,Meia,Fora,PAL,-0.3,-0.3,1,3.17,-0.83
Vitória,Jamerson,Lateral,Fora,PAL,6.5,6.5,1,5.55,1.55
Athlético-PR,Jadson,Meia,Casa,COR,0.5,0.5,1,5.08,-0.92
Vitória,Kike Saverio,Atacante,Fora,PAL,0.0,0.0,0,5.0,0.0
Athlético-PR,Mendoza,Atacante,Casa,COR,8.2,8.2,1,7.78,1.78
Vitória,Rúben Rodrigues,Meia,Fora,PAL,0.0,0.0,0,5.0,0.0
Vitória,Edenílson,Meia,Fora,PAL,0.0,0.0,0,3.0,0.0
Athlético-PR,Julimar,Atacante,Casa,COR,0.8,0.8,1,3.55,-0.45
Vitória,Rúben Ismael,Meia,Fora,PAL,0.0,0.0,0,4.0,0.0
Athlético-PR,Madson,Lateral,Casa,COR,0.0,0.0,0,5.0,0.0
Vitória,Renzo López,Atacante,Fora,PAL,0.0,0.0,0,3.0,0.0
Athlético-PR,Odair Hellmann,Técnico,Casa,COR,8.09,8.09,1,6.93,1.93
Vitória,Felipe Cardoso,Meia,Fora,PAL,0.0,0.0,0,3.0,0.0
Athlético-PR,Mastriani,Atacante,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Léo,Zagueiro,Casa,COR,4.7,4.7,1,5.74,0.74
Athlético-PR,Esquivel,Lateral,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Belezi,Zagueiro,Casa,COR,0.0,0.0,0,3.0,0.0
Athlético-PR,Benavídez,Lateral,Casa,COR,9.2,9.2,1,6.5,2.5
Athlético-PR,Léo Derik,Lateral,Casa,COR,10.0,10.0,1,5.14,3.14
Athlético-PR,Terán,Zagueiro,Casa,COR,7.7,7.7,1,5.97,1.97
Athlético-PR,Mycael,Goleiro,Casa,COR,0.0,0.0,0,5.0,0.0
Athlético-PR,Felipinho,Meia,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Luiz Fernando,Atacante,Casa,COR,-0.3,-0.3,1,3.99,-1.01
Athlético-PR,Aguirre,Zagueiro,Casa,COR,6.7,6.7,1,5.62,1.62
