clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Corinthians,Dieguinho,Meia,Casa,RBB,0.0,0.0,0,4.0,0.0
Cruzeiro,Kauã Prates,Lateral,Fora,MIR,0.0,0.0,1,3.39,-0.61
Cruzeiro,Arroyo,Atacante,Fora,MIR,0.5,1.1,2,5.63,-0.69
Cruzeiro,Matheus Henrique,Meia,Fora,MIR,4.5,3.0,2,7.38,0.31
Cruzeiro,Otávio,Goleiro,Fora,MIR,0.0,0.0,0,2.0,0.0
Cruzeiro,Jonathan Jesus,Zagueiro,Fora,MIR,0.0,0.0,1,4.91,0.0
Cruzeiro,Marquinhos,Atacante,Fora,MIR,0.0,0.0,0,4.0,0.0
Cruzeiro,Murilo Rhikman,Meia,Fora,MIR,0.0,0.0,0,3.0,0.0
Internacional,Borré,Atacante,Casa,PAL,8.7,5.55,2,8.78,1.39
Flamengo,Léo Pereira,Zagueiro,Fora,VIT,-0.3,-0.1,2,9.24,-1.43
Cruzeiro,Kauã Moraes,Lateral,Fora,MIR,0.0,0.0,0,3.0,0.0
Cruzeiro,Kaique Kenji,Atacante,Fora,MIR,0.0,-0.5,1,2.28,0.0
Flamengo,Danilo,Zagueiro,Fora,VIT,0.0,0.0,0,8.0,0.0
Cruzeiro,Villarreal,Atacante,Fora,MIR,0.0,0.0,0,5.0,0.0
Cruzeiro,Rayan Lelis,Atacante,Fora,MIR,0.0,0.0,0,2.0,0.0
Flamengo,Everton,Atacante,Fora,VIT,3.4,3.3,2,8.29,-0.2
Flamengo,Varela,Lateral,Fora,VIT,-0.3,3.2,2,6.86,-1.22
Flamengo,Bruno Henrique,Atacante,Fora,VIT,2.3,1.55,2,7.29,-0.35
Cruzeiro,Tevis,Atacante,Fora,MIR,0.0,0.0,0,2.0,0.0
Cruzeiro,Japa,Meia,Fora,MIR,0.0,0.0,0,3.0,0.0
Flamengo,Emerson Royal,Lateral,Fora,VIT,2.0,2.0,1,4.96,-0.04
Flamengo,Samuel Lino,Atacante,Fora,VIT,-0.3,3.1,2,8.23,-1.41
Flamengo,Arrascaeta,Meia,Fora,VIT,8.4,4.6,2,18.96,-0.14
Flamengo,Léo Ortiz,Zagueiro,Fora,VIT,2.7,1.2,2,9.22,-0.49
Flamengo,Daniel Sales,Lateral,Fora,VIT,0.0,0.0,0,2.0,0.0
Flamengo,Erick Pulgar,Meia,Fora,VIT,-0.4,1.55,2,8.05,-1.36
Flamengo,Ayrton Lucas,Lateral,Fora,VIT,0.0,0.0,0,8.0,0.0
Flamengo,De la Cruz,Meia,Fora,VIT,3.1,3.1,1,7.9,-0.1
Flamengo,Evertton Araújo,Meia,Fora,VIT,-0.6,0.75,2,3.3,-0.71
Flamengo,Plata,Atacante,Fora,VIT,0.0,10.6,1,9.44,0.0
Flamengo,Jorginho,Meia,Fora,VIT,0.0,-1.8,1,11.64,0.0
Flamengo,Saúl,Meia,Fora,VIT,0.0,0.0,0,7.0,0.0
Flamengo,Filipe Luís,Técnico,Fora,VIT,3.26,3.61,2,10.61,-0.59
Flamengo,Luiz Araújo,Atacante,Fora,VIT,0.0,0.0,0,10.0,0.0
Flamengo,João Victor,Zagueiro,Fora,VIT,0.0,0.0,0,2.0,0.0
Flamengo,Da Mata,Zagueiro,Fora,VIT,0.0,0.0,0,2.0,0.0
Flamengo,Dyogo Alves,Goleiro,Fora,VIT,0.0,0.0,0,3.0,0.0
Fluminense,Samuel Xavier,Lateral,Casa,BOT,3.5,3.6,2,8.45,-0.21
Flamengo,Allan,Meia,Fora,VIT,0.0,0.0,0,5.0,0.0
Flamengo,Douglas Telles,Atacante,Fora,VIT,0.0,0.0,0,2.0,0.0
Bahia,Everaldo,Atacante,Fora,VAS,0.0,0.9,1,4.41,0.0
Fluminense,Renê,Lateral,Casa,BOT,8.2,7.8,2,8.66,1.16
Flamengo,Léo Nannetti,Goleiro,Fora,VIT,0.0,0.0,0,2.0,0.0
Fluminense,Ganso,Meia,Casa,BOT,0.0,-0.15,2,4.92,-0.7
Flamengo,Guilherme Gomes,Meia,Fora,VIT,0.0,0.0,0,3.0,0.0
Flamengo,Wallace Yan,Atacante,Fora,VIT,0.0,0.0,0,5.0,0.0
Fluminense,Guilherme Arana,Lateral,Casa,BOT,0.8,0.8,1,8.76,-1.24
Flamengo,Joshua,Meia,Fora,VIT,0.0,0.0,0,3.0,0.0
Fluminense,Nonato,Meia,Casa,BOT,4.2,5.3,2,7.28,0.13
Fluminense,Otávio,Meia,Casa,BOT,0.0,0.0,0,4.0,0.0
Fluminense,Marcelo Pitaluga,Goleiro,Casa,BOT,0.0,0.0,0,3.0,0.0
Coritiba,Keno,Atacante,Fora,CHA,-0.6,-0.6,1,4.86,-1.14
Coritiba,Thiago Santos,Zagueiro,Fora,CHA,0.0,0.0,2,2.14,-0.31
Fluminense,Cano,Atacante,Casa,BOT,0.0,0.0,0,6.0,0.0
Fluminense,Luis Zubeldía,Técnico,Casa,BOT,4.3,4.93,2,9.21,-0.1
Fluminense,John Kennedy,Atacante,Casa,BOT,11.9,6.75,2,7.99,2.52
Fluminense,Vitor Eudes,Goleiro,Casa,BOT,0.0,0.0,0,2.0,0.0
Fluminense,Canobbio,Atacante,Casa,BOT,2.5,4.1,2,8.04,-0.5
Fluminense,Soteldo,Atacante,Casa,BOT,0.0,0.0,0,6.0,0.0
Fluminense,Freytes,Zagueiro,Casa,BOT,1.0,1.1,2,4.19,-0.32
Fluminense,Lima,Meia,Casa,BOT,-1.3,-1.3,1,4.61,-1.39
Fluminense,Igor Rabello,Zagueiro,Casa,BOT,0.0,0.0,0,5.0,0.0
Fluminense,Guga,Lateral,Casa,BOT,0.0,0.0,0,6.0,0.0
Fluminense,Hércules,Meia,Casa,BOT,0.0,0.0,0,7.0,0.0
Fluminense,Ignácio,Zagueiro,Casa,BOT,0.0,0.0,0,6.0,0.0
Fluminense,Luan Freitas,Zagueiro,Casa,BOT,0.0,0.0,0,3.0,0.0
Fluminense,Serna,Atacante,Casa,BOT,2.5,1.5,2,7.26,-0.28
Grêmio,Marcos Rocha,Lateral,Fora,SAO,0.0,0.0,1,7.36,0.0
Grêmio,Willian,Meia,Fora,SAO,5.2,2.45,2,5.62,0.82
Fluminense,Júlio Fidelis,Lateral,Casa,BOT,0.0,0.0,0,2.0,0.0
Fluminense,Riquelme Felipe,Atacante,Casa,BOT,0.0,0.0,0,4.0,0.0
Grêmio,Villasanti,Meia,Fora,SAO,0.0,0.0,0,7.0,0.0
Grêmio,Balbuena,Zagueiro,Fora,SAO,1.5,1.5,1,6.47,-0.53
Fluminense,Bernal,Meia,Casa,BOT,0.0,-0.15,2,3.49,-0.5
Bragantino,Tiago Volpi,Goleiro,Fora,COR,0.0,0.0,0,8.0,0.0
Fluminense,Santi Moreno,Atacante,Casa,BOT,0.0,-0.15,2,2.77,-0.4
Fluminense,Lezcano,Meia,Casa,BOT,0.0,0.0,0,4.0,0.0
Grêmio,Luís Castro,Técnico,Fora,SAO,8.65,6.56,2,10.79,1.04
Vasco,Thiago Mendes,Meia,Casa,BAH,4.0,4.25,2,7.39,0.08
Grêmio,Cristaldo,Meia,Fora,SAO,0.0,0.0,0,6.0,0.0
Grêmio,Marlon,Lateral,Fora,SAO,4.4,4.5,2,8.25,0.09
Grêmio,Cuéllar,Meia,Fora,SAO,0.0,0.0,0,5.0,0.0
Grêmio,Edenílson,Meia,Fora,SAO,8.0,5.25,2,7.9,1.3
Grêmio,Dodi,Meia,Fora,SAO,1.2,0.05,2,4.3,-0.22
Grêmio,Carlos Vinícius,Atacante,Fora,SAO,24.1,18.05,2,22.18,4.06
Cruzeiro,Sinisterra,Atacante,Fora,MIR,0.0,0.0,0,6.0,0.0
Grêmio,Kannemann,Zagueiro,Fora,SAO,0.0,0.0,0,5.0,0.0
Grêmio,Arthur Melo,Meia,Fora,SAO,6.0,5.85,2,10.43,0.25
Grêmio,Wagner Leonardo,Zagueiro,Fora,SAO,5.0,4.45,2,6.78,0.5
Grêmio,Caio Paulista,Lateral,Fora,SAO,0.0,0.0,0,5.0,0.0
Grêmio,Monsalve,Meia,Fora,SAO,0.4,0.4,1,4.38,-0.62
Grêmio,Gustavo Martins,Zagueiro,Fora,SAO,0.0,10.2,1,8.49,0.0
Grêmio,Gabriel Grando,Goleiro,Fora,SAO,0.0,0.0,0,4.0,0.0
Grêmio,Amuzu,Atacante,Fora,SAO,11.2,6.45,2,7.83,2.32
Fluminense,Gabriel Fuentes,Lateral,Casa,BOT,0.0,0.0,0,4.0,0.0
Internacional,Mercado,Zagueiro,Casa,PAL,2.0,2.0,1,4.96,-0.04
Remo,Ivan,Goleiro,Fora,CAM,0.0,0.0,0,4.0,0.0
Grêmio,Riquelme,Meia,Fora,SAO,0.0,0.0,0,4.0,0.0
Grêmio,Thiago Beltrame,Goleiro,Fora,SAO,0.0,0.0,0,2.0,0.0
Internacional,Bruno Henrique,Meia,Casa,PAL,1.4,1.8,2,5.31,-0.37
Internacional,Ronaldo,Meia,Casa,PAL,0.7,0.45,2,2.39,-0.13
Grêmio,Aravena,Atacante,Fora,SAO,0.0,0.0,0,4.0,0.0
Grêmio,Viery,Zagueiro,Fora,SAO,0.0,0.0,0,3.0,0.0
Internacional,Alan Benítez,Lateral,Casa,PAL,0.0,0.0,0,4.0,0.0
Grêmio,Ronald,Meia,Fora,SAO,0.0,0.0,0,3.0,0.0
Internacional,Richard,Meia,Casa,PAL,0.0,0.0,0,4.0,0.0
Grêmio,André,Atacante,Fora,SAO,2.1,0.55,2,3.14,0.22
