rodada;atleta_id;nome;time;adversario;mandante;posicao_id;pontos;CA;DS;FC;FF;I;FS;SG;G;FD;PS;DE;GS;PC;V;FT;A;GC;CV
1;105949;Rochet;INT;CAP;True;1;1.8;;1.0;;;;;;;;;1.0;1.0;;;;;;
1;105990;Santiago Mingo;BAH;COR;False;3;0.5;;;;;;1.0;;;;;;;;;;;;
1;106104;Enamorado;GRE;FLU;False;5;1.2;;;;;;;;;1.0;;;;;;;;;
1;106202;Bruno Gomes;INT;CAP;True;4;5.1;;2.0;;2.0;;1.0;;;;;;;;;;;;
1;106294;Marcos Antônio;SAO;FLA;True;4;7.5;;5.0;;;;;;;;;;;;;;;;
1;106708;Igor Formiga;MIR;VAS;True;2;4.0;;2.0;1.0;1.0;;1.0;;;;;;;;;;;;
1;106822;Rodrigo Nestor;BAH;COR;False;4;0.0;;;;;;;;;;;;;;;;;;
1;107093;Luciano Juba;BAH;COR;False;2;6.2;;3.0;;;;1.0;;;1.0;;;;;;;;;
1;107172;Patrick de Paula;REM;VIT;False;4;1.8;1.0;1.0;1.0;2.0;;;;;;;;;;;;;;
1;107173;Michel Araújo;BAH;COR;False;4;-3.1;;;2.0;;;1.0;;;;;;;;;;;;1.0
1;107174;Bruno Tabata;INT;CAP;True;4;0.5;;;1.0;1.0;;;;;;;;;;;;;;
1;107231;Danilo;BOT;CRU;True;4;17.2;;1.0;1.0;;;;;2.0;;;;;;;;;;
1;107453;João Paulo;CHA;SAN;True;3;7.0;;1.0;;;;1.0;;;;;;;;;;1.0;;
1;107700;Eduardo Melo;REM;VIT;False;5;1.4;;1.0;;;1.0;;;;;;;;;;;;;
1;107873;Bobadilla;SAO;FLA;True;4;6.2;;4.0;3.0;;1.0;;;;1.0;;;;;;;;;
1;107985;Terán;CAP;INT;False;3;7.7;;2.0;1.0;;;;1.0;;;;;;;;;;;
1;107989;Carbonero;INT;CAP;True;5;0.5;;;;;;1.0;;;;;;;;;;;;
1;108474;Santi Moreno;FLU;GRE;True;5;-0.3;;;1.0;;;;;;;;;;;;;;;
1;108588;Tapia;SAO;FLA;True;5;1.5;;1.0;;;;;;;;;;;;;;;;
1;108713;Galeano;MIR;VAS;True;5;1.2;;;;;;;;;1.0;;;;;;;;;
1;109096;Plata;FLA;SAO;False;5;10.6;;;1.0;;;1.0;;1.0;2.0;;;;;;;;;
1;109127;Tiago Cóser;CFC;RBB;True;3;1.5;;1.0;;;;;;;;;;;;;;;;
1;109336;Rafael Carvalheira;CHA;SAN;True;4;9.2;;1.0;1.0;;;;;1.0;;;;;;;;;;
1;109401;Erick Pulga;BAH;COR;False;5;3.4;1.0;1.0;2.0;1.0;;3.0;;;1.0;;;;;;;;;
1;109573;Martinelli;FLU;GRE;True;4;1.7;;;1.0;1.0;;;;;1.0;;;;;;;;;
1;110426;Bernabéi;INT;CAP;True;2;1.0;1.0;1.0;2.0;;1.0;;;;1.0;;;;;;;;;
1;110506;Abel Ferreira;PAL;CAM;False;6;3.66;;;;;;;;;;;;;;;;;;
1;110510;Aguirre;INT;CAP;True;2;2.7;;2.0;1.0;;;;;;;;;;;;;;;
1;110715;Andrés Hurtado;RBB;CFC;False;2;4.2;1.0;;1.0;;;1.0;1.0;;;;;;;;;;;
1;110750;Gustavo Marques;RBB;CFC;False;3;9.7;;3.0;1.0;;;1.0;1.0;;;;;;;;;;;
1;110759;John Kennedy;FLU;GRE;True;5;1.6;;;2.0;;;2.0;;;1.0;;;;;;;;;
1;111246;Alix Vinicius;RBB;CFC;False;3;3.4;1.0;;2.0;;;;1.0;;;;;;;;;;;
1;111309;Gustavo Martins;GRE;FLU;False;3;10.2;;3.0;2.0;1.0;;1.0;;;;;;;;;;1.0;;
1;111466;Victor Gabriel;INT;CAP;True;3;3.0;;2.0;;;;;;;;;;;;;;;;
1;111831;Matheus Martins;BOT;CRU;True;5;10.0;;1.0;;;;1.0;;1.0;;;;;;;;;;
1;111879;Mateus Silva;VIT;REM;True;2;9.7;;2.0;2.0;1.0;;3.0;1.0;;;;;;;;;;;
1;112576;Vini Paulista;CFC;RBB;True;4;0.0;;;;;;;;;;;;;;;;;;
1;112709;Kaiki Bruno;CRU;BOT;False;2;2.2;;;1.0;1.0;;1.0;;;1.0;;;;;;;;;
1;112863;Ramón Sosa;PAL;CAM;False;5;1.7;;;;;;1.0;;;1.0;;;;;;;;;
1;112886;Lucas Barbosa;RBB;CFC;False;5;4.0;;1.0;3.0;1.0;1.0;3.0;;;1.0;;;;;;;;;
1;113034;Freytes;FLU;GRE;True;3;1.2;;1.0;1.0;;;;;;;;;;;;;;;
1;113103;Flaco López;PAL;CAM;False;5;16.1;;4.0;3.0;1.0;;2.0;;1.0;1.0;;;;;;;;;
