Contagem de DS;;rodada;
Léo;CAP;;
Vinicinho;RBB;;
Arthur Cabral;BOT;;
Dorival Júnior;COR;;
Erick;BAH;;
;VIT;;
Yuri Alberto;COR;;
Léo Jardim;VAS;;
Carrascal;FLA;;
Léo Ortiz;FLA;;
Pedro Rocha;CFC;;
Léo Pereira;FLA;;
Portilla;CAP;;
Léo Vieira;CHA;;
Rafael Guanaes;MIR;;
Bruno Tabata;INT;;
Raykkonen;INT;;
Caballero;SAN;;
Renato Kayzer;VIT;;
Lucas Moura;SAO;;
Riquelme;CAP;;
Lucas Piton;VAS;;
Robinho Jr.;SAN;;
Everaldo;FLU;;
Rollheiser;SAN;;
Everson;CAM;;
Hugo Souza;COR;;
Caíque;VIT;;
Santi Moreno;FLU;;
Everton Galdino;MIR;;
Savarino;FLU;;
Calleri;SAO;;
Igor Vinícius;SAN;;
Evertton Araújo;FLA;;
Jáderson;REM;;
Luighi;PAL;;
Jair Ventura;VIT;;
Luís Castro;GRE;;
Villagra;INT;;
Luis Zubeldía;FLU;;
João Lucas;REM;;
Luiz Fernando;CAP;;
João Pedro;GRE;;
;REM;;
Fábio;FLU;;
Weverton;GRE;;
Alex Sandro;FLA;;
João Vitor;VAS;;
Fabrício Bruno;CRU;;
John Kennedy;FLU;;
Aldo Filho;MIR;;
Alexis Duarte;SAN;;
Marcelinho;RBB;;
;REM;;
Pedro Henrique;RBB;;
Marcelo Rangel;REM;;
Pedro Raul;COR;;
Félix Torres;INT;;
Gui Negão;COR;;
Fernando Diniz;VAS;;
Plata;FLA;;
Marcos Rocha;GRE;;
Cássio;CRU;;
Marcos Vinícius;CHA;;
Alan Patrick;INT;;
Fernando Pradella;SAN;;
Ramon;VIT;;
Fernando Seabra;CFC;;
Andrés Hurtado;RBB;;
Filipe Luís;FLA;;
Reinaldo;MIR;;
Martín Anselmi;BOT;;
Cleiton;RBB;;
Martinelli;FLU;;
Renato Marques;MIR;;
Artur;BOT;;
Riccieli;VIT;;
Cantalapiedra;VIT;;
Riquelme Fillipi;PAL;;
Carbonero;INT;;
Hernán Crespo;SAO;;
Matheus Fernandes;RBB;;
Andrey Fernandes;VAS;;
Matheus França;VAS;;
Rogério Ceni;BAH;;
Gabriel Bontempo;SAN;;
Ronaldo;BAH;;
;INT;;
Gabriel Brazão;SAN;;
Ruan;CAM;;
Alef Manga;REM;;
Hulk;CAM;;
Gabriel Paulista;COR;;
Sant Anna;RBB;;
Maurício;PAL;;
Santiago Mingo;BAH;;
Galeano;MIR;;
Santos;CAP;;
Ganso;FLU;;
Sebastián Gómez;CFC;;
Mendoza;CAP;;
Igor Gomes;CAM;;
Michel Araújo;BAH;;
Bernard;CAM;;
Carlos Miguel;PAL;;
Thiago Santos;CFC;;
Montoro;BOT;;
Jadson;CAP;;
Murilo;PAL;;
Vagner Mancini;RBB;;
Nathan Fernandes;BOT;;
Arrascaeta;FLA;;
Nathan Fogaça;MIR;;
Jean Lucas;BAH;;
GB;VAS;;
Vini Paulista;CFC;;
Neto;BOT;;
Dodi;GRE;;
Neto Moura;MIR;;
Vitor Roque;PAL;;
Gerson;CRU;;
Dodô;REM;;
Nonato;FLU;;
Walter;MIR;;
Giay;PAL;;
Wanderson;CRU;;
Odair Hellmann;CAP;;
Willian;GRE;;
Osvaldo;VIT;;
Willian Machado;MIR;;
Pablo Maia;SAO;;
Yago Pikachu;REM;;
Patrick;REM;;
Johan Rojas;VAS;;
Gilberto;BAH;;
Zé Marcos;VIT;;
Gilmar Dal Pozzo;CHA;;
Jonathan Jesus;CRU;;
Paulo Pezzolano;INT;;
Kaiki Bruno;CRU;;
Total Geral;;156;156
